seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,latency_ms_per_window,ess,acceptance_rate
6,Amortized surrogate,15.0,MP,15.197272200215039,0.9435567966596764,58.34710325,19.32412145061256,0.8227272727272726
6,Analytical score,15.0,MP,15.197272200215039,0.9832774317005557,48.808422,19.306829890450633,0.8318181818181818
6,Amortized surrogate,15.0,NLOS,15.524289916143388,0.2950551265080471,60.935056,28.526561107840706,0.7659090909090909
6,Analytical score,15.0,NLOS,15.524289916143388,0.11302054291388254,41.88144875,23.714185184262302,0.7545454545454546
7,Amortized surrogate,-5.0,LOS,-5.3451849481123,3.2609050979249368,63.133502,18.133167049097036,0.725
7,Analytical score,-5.0,LOS,-5.3451849481123,4.0505281633939365,42.4431915,14.065638353181178,0.7522727272727273
7,Amortized surrogate,-5.0,MP,-5.321337244129696,98.94667143753,59.08789675,8.665749777518101,0.7568181818181818
7,Analytical score,-5.0,MP,-5.321337244129696,111.30604766110308,41.23879175,13.009193613929725,0.7659090909090909
7,Amortized surrogate,-5.0,NLOS,-5.425307852254595,39.43850151552045,62.3887855,10.91425163757945,0.8136363636363637
7,Analytical score,-5.0,NLOS,-5.425307852254595,21.466842819043777,41.054322,18.34837437816649,0.8227272727272728
7,Amortized surrogate,5.0,LOS,4.389937587746896,3.7397909391149002,58.34138275,11.121869623151367,0.7977272727272727
7,Analytical score,5.0,LOS,4.389937587746896,1.994452085377938,49.077692,10.150859662951806,0.8045454545454546
7,Amortized surrogate,5.0,MP,5.109106152464201,0.8421929633652026,71.03971425,22.118824264060137,0.7931818181818182
7,Analytical score,5.0,MP,5.109106152464201,1.0170626866195251,54.287245,24.650268636497955,0.8045454545454545
7,Amortized surrogate,5.0,NLOS,4.777819656996256,66.04501624037346,61.3123795,16.3475350766909,0.7795454545454545
7,Analytical score,5.0,NLOS,4.777819656996256,10.501295912256591,46.49186375,19.188528696371485,0.7727272727272727
7,Amortized surrogate,15.0,LOS,14.771100850921325,11.01593478326498,64.534376,22.365287063061054,0.8340909090909091
7,Analytical score,15.0,LOS,14.771100850921325,4.629229139892545,42.35755875,21.52930955579884,0.7931818181818181
7,Amortized surrogate,15.0,MP,16.009304369900573,4.804803531552813,62.916097,20.936235123515598,0.8
7,Analytical score,15.0,MP,16.009304369900573,24.832246824771396,46.1537285,15.215857911732716,0.8090909090909091
7,Amortized surrogate,15.0,NLOS,14.143571421934759,12.294564266414875,62.25978475,14.896316154272014,0.8136363636363637
7,Analytical score,15.0,NLOS,14.143571421934759,15.880194468974317,43.8130215,12.780669119527458,0.8363636363636364
8,Amortized surrogate,-5.0,LOS,-5.0689512245446045,100.25115834733091,56.659581,9.349204060134042,0.7909090909090909
8,Analytical score,-5.0,LOS,-5.0689512245446045,95.74410929200224,39.85760825,13.453878041522692,0.8113636363636363
8,Amortized surrogate,-5.0,MP,-4.23741817202259,30.980638904962923,59.49519525,12.801234521527453,0.7954545454545454
8,Analytical score,-5.0,MP,-4.23741817202259,48.455076480279985,40.52087725,11.340901731028406,0.8113636363636363
8,Amortized surrogate,-5.0,NLOS,-4.124707227304206,5.513603198780217,56.94463675,10.896901253159967,0.8340909090909091
8,Analytical score,-5.0,NLOS,-4.124707227304206,4.9559673924989385,40.3381575,11.14659915228201,0.8522727272727273
8,Amortized surrogate,5.0,LOS,4.921238298601253,0.34307790849040903,61.89104825,12.045875569176859,0.7909090909090909
8,Analytical score,5.0,LOS,4.921238298601253,14.874655917163635,40.33532825,16.08318612860156,0.7954545454545454
8,Amortized surrogate,5.0,MP,4.798343462548049,10.924669652814316,58.2412275,13.229261869413449,0.825
8,Analytical score,5.0,MP,4.798343462548049,9.925035914668982,42.87756275,11.393344913006356,0.8409090909090908
8,Amortized surrogate,5.0,NLOS,4.956237172131898,24.97198062153715,62.67301975,14.949153191382473,0.8204545454545455
8,Analytical score,5.0,NLOS,4.956237172131898,10.772961789300869,39.73752625,18.740332021952497,0.8090909090909091
8,Amortized surrogate,15.0,LOS,14.47566300618221,13.909999238921916,57.25917575,16.99695895972164,0.7772727272727272
8,Analytical score,15.0,LOS,14.47566300618221,12.286699482397998,39.79296575,16.31536878146709,0.7977272727272727
8,Amortized surrogate,15.0,MP,15.455966030826245,2.7967712175764428,57.96189775,6.669179935817866,0.8045454545454546
8,Analytical score,15.0,MP,15.455966030826245,2.8545650271583134,39.78569475,6.902679680908898,0.8340909090909091
8,Amortized surrogate,15.0,NLOS,15.296593758202874,14.16422740154929,58.27325725,7.7618028029633255,0.8409090909090908
8,Analytical score,15.0,NLOS,15.296593758202874,16.878454212611718,45.4440425,9.783751630319726,0.865909090909091
9,Amortized surrogate,-5.0,LOS,-5.106975632688274,268.7657139671358,55.984771,13.362928961956083,0.7204545454545455
9,Analytical score,-5.0,LOS,-5.106975632688274,251.38908465590004,48.1179565,14.813035811016922,0.7545454545454546
9,Amortized surrogate,-5.0,MP,-4.870635978346768,178.52367614822919,54.0721635,22.103634486408858,0.7863636363636363
9,Analytical score,-5.0,MP,-4.870635978346768,191.2585207922834,40.04027625,23.584516924698598,0.7886363636363636
9,Amortized surrogate,-5.0,NLOS,-4.308521465501373,16.458637566522114,54.92347,5.317668566856647,0.7840909090909091
9,Analytical score,-5.0,NLOS,-4.308521465501373,16.528899744671087,39.40409725,4.421807446624388,0.8090909090909091
9,Amortized surrogate,5.0,LOS,4.988166008575217,0.32025505995111975,55.10410025,21.331517622136513,0.7704545454545454
9,Analytical score,5.0,LOS,4.988166008575217,0.27391779697657753,39.59046275,16.00946870268545,0.7727272727272726
9,Amortized surrogate,5.0,MP,5.150238971835421,99.86880962426723,57.861836,8.259209799538214,0.7545454545454545
9,Analytical score,5.0,MP,5.150238971835421,4.448840643124366,38.78169625,11.25837969335483,0.7431818181818182
9,Amortized surrogate,5.0,NLOS,5.8798822613486745,8.378155836963384,55.917797,15.345995398309558,0.7977272727272727
9,Analytical score,5.0,NLOS,5.8798822613486745,0.6711218169907042,39.09169125,23.92237653466544,0.8204545454545454
9,Amortized surrogate,15.0,LOS,14.534273050993978,0.49886932872018824,57.7236585,24.168882070451527,0.7068181818181819
9,Analytical score,15.0,LOS,14.534273050993978,43.45427458137895,38.30637675,16.095936429173086,0.7590909090909091
9,Amortized surrogate,15.0,MP,14.553018531562163,2.4299738255900216,56.99455525,16.901549655263143,0.7727272727272727
